time,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z
24.78,0.189248,0.296225,-0.0826799999999999,0.269326,-0.117093,-0.21703
24.8,0.18938,0.296281,-0.082815,0.271653,-0.11824,-0.216
24.82,0.189398,0.296468,-0.082973,0.273513,-0.118986,-0.214959
24.84,0.189415,0.296875,-0.082976,0.275581,-0.119604,-0.213693
24.86,0.189437,0.297987,-0.082585,0.277473,-0.119844,-0.2126469999999999
24.88,0.1892309999999999,0.299888,-0.081896,0.279406,-0.1199099999999999,-0.211751
24.9,0.189152,0.302348,-0.080669,0.281436,-0.120209,-0.210817
24.92,0.189959,0.304629,-0.079679,0.283719,-0.120754,-0.209803
24.94,0.191693,0.306465,-0.079225,0.285839,-0.121582,-0.208765
24.96,,,,0.287856,-0.122291,-0.207771
24.98,0.196724,0.3077809999999999,-0.081224,0.289524,-0.123063,-0.206994
25.0,0.19898,0.307888,-0.0829179999999999,0.290975,-0.123624,-0.206303
25.02,0.200534,0.307767,-0.084766,,,
25.04,0.201294,0.3074119999999999,-0.086782,0.292592,-0.125441,-0.204738
25.06,0.201233,0.3069659999999999,-0.088851,0.292094,-0.127049,-0.203873
25.08,0.200565,0.306503,-0.090433,0.290667,-0.128789,-0.203144
25.1,0.199114,0.305982,-0.091869,,,
25.12,0.197151,0.305617,-0.092554,0.283406,-0.1333349999999999,-0.2026329999999999
25.14,,,,0.278727,-0.136049,-0.202567
25.16,0.19243,0.3060719999999999,-0.091335,0.274408,-0.138413,-0.202154
25.18,0.1905329999999999,0.306563,-0.089973,0.270776,-0.140394,-0.201263
25.2,0.189252,0.307054,-0.0885389999999999,0.267717,-0.14188,-0.200105
25.22,0.188714,0.307485,-0.0872049999999999,0.2652199999999999,-0.142965,-0.198851
25.24,0.188624,0.3078349999999999,-0.085946,0.263486,-0.1437,-0.197936
25.26,0.188946,0.30812,-0.085032,0.262349,-0.144279,-0.197153
25.28,0.189747,0.3084449999999999,-0.084051,0.2619309999999999,-0.14493,-0.196769
25.3,0.1908089999999999,0.308708,-0.08346,0.26169,-0.145314,-0.1968589999999999
25.32,0.191961,0.309173,-0.082873,0.261419,-0.145014,-0.1973339999999999
25.34,0.1932839999999999,0.309696,-0.0825029999999999,0.261027,-0.144494,-0.1980309999999999
25.36,0.194736,0.310401,-0.081572,0.260758,-0.143704,-0.198828
25.38,0.196263,0.311134,-0.080479,0.260418,-0.1430799999999999,-0.199395
25.4,0.1975839999999999,0.311927,-0.0791309999999999,0.260212,-0.142599,-0.1998329999999999
25.42,0.198653,0.312662,-0.077721,,,
25.44,0.199367,0.313282,-0.076447,0.259823,-0.142188,-0.20009
25.46,0.199681,0.313775,-0.075474,0.259467,-0.141841,-0.200226
25.48,0.199545,0.314282,-0.074671,0.259391,-0.141338,-0.200382
25.5,,,,0.259348,-0.140841,-0.200598
25.52,,,,0.259194,-0.1403579999999999,-0.20084
25.54,0.197436,0.314735,-0.074947,0.258914,-0.139802,-0.201095
25.56,0.19659,0.314508,-0.075684,0.258642,-0.139345,-0.2013329999999999
25.58,0.195718,0.314305,-0.0763809999999999,0.2585949999999999,-0.139,-0.201499
25.6,0.195141,0.314085,-0.077158,,,
25.62,0.1947279999999999,0.313924,-0.077759,0.259048,-0.139259,-0.201273
25.64,0.194646,0.313815,-0.0782149999999999,0.259292,-0.139603,-0.200928
25.66,0.194688,0.313822,-0.078357,0.259476,-0.139852,-0.200589
